TimeStamp_C,,,,,Value_N,Value_45,Value_60,Value_30
00:41.2,,,,,7.92586,8.64011,9.0318,8.47484
00:41.3,,,,,7.87978,8.68619,8.98572,8.42876
00:41.4,,,,,7.87978,8.64011,9.0318,8.567
00:41.5,,,,,7.90282,8.66315,9.0318,8.47484
00:41.6,,,,,7.90282,8.61707,9.00876,8.54396
00:41.7,,,,,7.92586,8.64011,9.00876,8.49788
00:41.8,,,,,7.90282,8.66315,9.00876,8.4518
00:41.9,,,,,7.97194,8.66315,9.00876,8.567
00:42.0,,,,,7.87978,8.66315,8.98572,8.61308
00:42.1,,,,,7.92586,8.61707,9.0318,8.54396
00:42.2,,,,,7.90282,8.66315,9.0318,8.567
00:42.3,,,,,7.9489,8.68619,9.05484,8.59004
00:42.4,,,,,7.87978,8.61707,8.98572,8.52092
00:42.5,,,,,7.90282,8.66315,9.00876,8.49788
00:42.6,,,,,7.90282,8.61707,8.98572,8.47484
00:42.7,,,,,7.92586,8.68619,9.0318,8.52092
00:42.8,,,,,7.92586,8.66315,9.00876,8.52092
00:42.9,,,,,7.87978,8.61707,9.0318,8.567
00:43.0,,,,,7.92586,8.66315,8.98572,8.47484
00:43.1,,,,,7.90282,8.59403,9.00876,8.54396
00:43.2,,,,,7.87978,8.66315,9.0318,8.54396
00:43.3,,,,,7.87978,8.59403,8.98572,8.47484
00:43.4,,,,,7.90282,8.64011,9.0318,8.49788
00:43.5,,,,,7.90282,8.61707,9.00876,8.52092
00:43.6,,,,,7.97194,8.66315,9.00876,8.42876
00:43.7,,,,,7.92586,8.61707,8.98572,8.4518
00:43.8,,,,,7.87978,8.61707,9.05484,8.49788
00:43.9,,,,,7.87978,8.68619,9.0318,8.52092
00:44.0,,,,,7.85674,8.61707,9.00876,8.49788
00:44.1,,,,,7.90282,8.59403,8.98572,8.49788
00:44.2,,,,,7.87978,8.64011,9.00876,8.49788
00:44.3,,,,,7.92586,8.59403,9.00876,8.42876
00:44.4,,,,,7.9489,8.66315,9.05484,8.47484
