TimeStamp,,,,Specification,Value_mA,Value_A,,TimeStamp_30
16:11:29.382 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:26.200
16:11:29.527 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:26.300
16:11:29.654 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:26.400
16:11:29.749 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:26.500
16:11:29.877 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:26.600
16:11:29.987 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:26.700
16:11:30.130 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:26.800
16:11:30.271 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:26.900
16:11:30.366 -> The value of current in ma : 9147.00,,,,current,9147,9.147,,0:00:27.000
16:11:30.510 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:27.100
16:11:30.607 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:27.200
16:11:30.748 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:27.300
16:11:30.859 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:27.400
16:11:30.959 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:27.500
16:11:31.095 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:27.600
16:11:31.238 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:27.700
16:11:31.333 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:27.800
16:11:31.474 -> The value of current in ma : 9054.84,,,,current,9054.84,9.05484,,0:00:27.900
16:11:31.572 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:28.000
16:11:31.727 -> The value of current in ma : 9123.96,,,,current,9123.96,9.12396,,0:00:28.100
16:11:31.822 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:28.200
16:11:31.965 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:28.300
16:11:32.075 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:28.400
16:11:32.170 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:28.500
16:11:32.311 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:28.600
16:11:32.454 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:28.700
16:11:32.549 -> The value of current in ma : 9031.80,,,,current,9031.8,9.0318,,0:00:28.800
16:11:32.692 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:28.900
16:11:32.787 -> The value of current in ma : 9100.92,,,,current,9100.92,9.10092,,0:00:29.000
16:11:32.930 -> The value of current in ma : 9077.88,,,,current,9077.88,9.07788,,0:00:29.100
