F_mean,F_max,F_min,F_rms,F_std_dev,F_skewness,F_crest_factor,F_form_factor,fault_type
63.86440678,68,51,64.07040619,5.155555056,-0.945532667,1.061332432,1.003225575,0
61.13559322,68,51,61.38969714,5.603593557,-0.339303609,1.107677724,1.004156399,0
63.57627119,77,42,63.85364622,5.970592863,-0.886315402,1.205882586,1.00436287,0
65.10169492,77,51,65.2946386,5.037279537,-0.266092468,1.17926987,1.002963728,0
61.54237288,68,51,61.81231845,5.795141006,-0.434233509,1.100104343,1.004386337,0
61.21186441,68,42,61.60983027,7.021154476,-1.057435209,1.10371997,1.00650145,0
62.50847458,68,51,62.70133673,4.935040873,-0.404093596,1.084506385,1.003085376,0
64.38983051,77,51,64.61319066,5.390770679,-0.400999593,1.19170713,1.003468873,0
62.49152542,77,42,62.86142953,6.838485566,-0.881889868,1.224916464,1.005919268,0
62.74576271,77,51,63.08710685,6.581749489,-0.211395027,1.220534652,1.005440115,0
71.99152542,531,51,84.79271835,44.99088146,9.38413351,6.26233019,1.177815275,0
64.54237288,77,51,64.80413776,5.843608632,-0.239448786,1.188195733,1.004055706,0
63.57627119,77,42,63.83333702,5.747398936,-1.011448174,1.206266249,1.004043424,0
61.6440678,77,42,62.03443549,6.978018507,-0.648699465,1.241246082,1.006332608,0
62.30508475,77,51,62.5970433,6.06448041,-0.489984631,1.230090048,1.004685951,0
60.23728814,77,42,60.75931958,7.981472098,-0.339897335,1.267295298,1.008666251,0
62.3220339,77,51,62.51074484,4.874285143,-0.041402888,1.231788234,1.003027997,0
61.93220339,77,42,62.27835274,6.585050167,-0.724789972,1.23638466,1.005589166,0
62.27966102,77,51,62.56068241,5.948332515,-0.130570945,1.230804989,1.00451225,0
63.00847458,77,51,63.19937513,4.929408977,-0.235562259,1.218366477,1.00302976,0
61.40677966,77,42,61.82122942,7.176930382,-0.774728085,1.245526832,1.006749251,0
61.93220339,68,51,62.15208247,5.245639318,-0.407011773,1.094090452,1.003550319,0
68.38983051,342,51,74.95637149,30.81126276,7.586269508,4.562654157,1.096016337,0
63.54237288,77,42,63.9641054,7.364321552,-1.122791367,1.203800155,1.006637028,0
62.49152542,85,42,62.86884384,6.906884665,-0.493078388,1.352021046,1.006037913,0
