I_mean,I_max,I_min,I_rms,I_std_dev,I_skewness,I_crest_factor,I_form_factor,fault_type
7.86565871,7.92586,7.76458,7.865740735,0.036515514,-0.262318279,1.007643179,1.000010428,0
7.875320645,7.9489,7.81066,7.875395485,0.034901027,0.289039394,1.009333438,1.000009503,0
7.874577419,7.9489,7.78762,7.874657247,0.036043514,0.01016891,1.009428061,1.000010137,0
7.905049677,8.04106,7.8337,7.905156589,0.041792824,1.100382441,1.017191742,1.000013524,0
7.929576129,7.99498,7.87978,7.929623847,0.027964128,0.388335993,1.008242024,1.000006018,0
7.88869871,7.97194,7.81066,7.888778325,0.036027675,-0.195558883,1.010541769,1.000010092,0
7.909509032,7.99498,7.8337,7.909648009,0.047663128,0.283426671,1.010788342,1.000017571,0
7.887212258,7.97194,7.78762,7.887330337,0.043871732,0.184217791,1.010727288,1.000014971,0
7.873834194,7.9489,7.81066,7.873908066,0.034671305,-0.280982608,1.009524106,1.000009382,0
7.872347742,7.9489,7.8337,7.872416015,0.033328243,0.821570011,1.00971544,1.000008672,0
7.875320645,7.9489,7.81066,7.875391137,0.033871859,0.088290856,1.009333995,1.000008951,0
7.852280645,7.92586,7.81066,7.85234044,0.031150532,0.375818214,1.009362758,1.000007615,0
7.877550323,7.9489,7.81066,7.877631523,0.036358862,-0.156694221,1.009046942,1.000010308,0
7.956333226,8.20235,7.78762,7.957218604,0.120661339,0.434363061,1.030806166,1.00011128,0
8.090115161,8.27147,8.01802,8.090347471,0.062323093,1.161366229,1.022387485,1.000028715,0
8.00910129,8.11018,7.92586,8.00928661,0.055384703,0.213202132,1.012597051,1.000023139,0
7.997209677,8.08714,7.90282,7.99731964,0.042631197,0.118981253,1.011231308,1.00001375,0
7.968223871,8.0641,7.85674,7.968342275,0.044157038,-0.149573425,1.012017271,1.000014859,0
7.946670323,8.04106,7.87978,7.946727113,0.030539859,0.464060025,1.011870659,1.000007146,0
7.953359355,8.01802,7.90282,7.953414084,0.029992945,0.294874879,1.008123042,1.000006881,0
7.950386452,8.01802,7.90282,7.950453082,0.033087603,0.31300071,1.008498499,1.000008381,0
7.92586,7.99498,7.81066,7.925942099,0.036671497,-0.68928454,1.008710372,1.000010358,0
7.928832903,7.99498,7.85674,7.928897137,0.032443034,0.062629061,1.008334433,1.000008101,0
7.942210968,7.99498,7.8337,7.942299783,0.038181365,-0.818067433,1.006632867,1.000011183,0
7.950386452,8.04106,7.90282,7.950466005,0.036154199,0.605814691,1.011394803,1.000010006,0
7.929576129,8.01802,7.85674,7.929669196,0.039053434,0.213378134,1.011141802,1.000011737,0
7.913225161,7.97194,7.8337,7.913300551,0.035112995,0.188679531,1.007410239,1.000009527,0
7.908765806,8.04106,7.81066,7.908865334,0.04033327,0.812260549,1.016714745,1.000012585,0
7.922143871,8.01802,7.8337,7.922260802,0.04375448,0.02851968,1.012087357,1.00001476,0
7.899103871,7.9489,7.85674,7.89916478,0.031532984,0.060052155,1.006296263,1.000007711,0
7.882009677,7.92586,7.81066,7.882060416,0.028749168,-0.304251998,1.00555687,1.000006437,0
7.87086129,7.92586,7.81066,7.870906276,0.027051105,0.040137058,1.00698188,1.000005715,0
7.867145161,7.92586,7.76458,7.867231875,0.037548231,-0.253599529,1.007452192,1.000011022,0
7.876807097,7.9489,7.81066,7.876860885,0.029590594,0.256029724,1.009145663,1.000006829,0
7.869374839,7.9489,7.78762,7.869468056,0.038936332,0.198853281,1.010093687,1.000011846,0
7.902076774,8.04106,7.8337,7.902194841,0.043910747,1.099181624,1.017572986,1.000014941,0
7.922143871,7.99498,7.87978,7.922195957,0.029202249,0.637871093,1.009187357,1.000006575,0
7.896874194,7.97194,7.8337,7.896954356,0.036169983,-0.204702339,1.009495514,1.000010151,0
7.912481935,7.99498,7.81066,7.912615624,0.046756327,0.099263355,1.010409248,1.000016896,0
7.890928387,7.97194,7.8337,7.89103661,0.04201078,0.521360206,1.010252568,1.000013715,0
7.871604516,7.9489,7.78762,7.871705777,0.040587207,-0.159771949,1.009806543,1.000012864,0
7.87086129,7.9489,7.8337,7.870917154,0.030144809,0.78649439,1.00990772,1.000007098,0
7.876807097,7.9489,7.81066,7.876884798,0.035565251,0.171834881,1.009142599,1.000009865,0
7.861199355,7.92586,7.81066,7.861259082,0.031150532,0.229721696,1.00821763,1.000007598,0
7.868631613,7.9489,7.81066,7.868731438,0.040290791,0.091188671,1.010188245,1.000012686,0
7.913969032,8.20235,7.78762,7.914661146,0.106397335,1.485324023,1.036348853,1.000087455,0
8.091601935,8.27147,8.01802,8.091839869,0.063078849,1.033719974,1.022198923,1.000029405,0
8.027681935,8.11018,7.92586,8.0278585,0.054123307,-0.411095573,1.010254478,1.000021994,0
7.995723226,8.08714,7.90282,7.995844193,0.044709424,0.068593301,1.011417907,1.000015129,0
7.964507742,8.04106,7.85674,7.964605325,0.040077724,-0.440809814,1.009599305,1.000012252,0
7.954845806,8.0641,7.87978,7.954927537,0.036655929,0.554594417,1.013723879,1.000010274,0
7.955589032,8.04106,7.90282,7.955656174,0.033225325,0.592952405,1.010734982,1.00000844,0
7.954102581,8.01802,7.90282,7.954153624,0.028966743,0.081050797,1.008029311,1.000006417,0
7.925116774,8.01802,7.81066,7.925206409,0.038315675,-0.270927976,1.011711189,1.00001131,0
7.929576129,7.99498,7.85674,7.929647601,0.034223914,0.226576584,1.008239004,1.000009013,0
7.945927097,7.99498,7.87978,7.945982572,0.030182655,-0.126862546,1.006166315,1.000006982,0
7.941467742,8.04106,7.8337,7.94156992,0.040951225,0.030190619,1.01252776,1.000012866,0
7.934035484,7.99498,7.85674,7.934116524,0.036452934,0.069035448,1.007671109,1.000010214,0
7.919914194,8.01802,7.8337,7.920020068,0.041628608,0.231698163,1.012373697,1.000013368,0
7.907279355,7.97194,7.85674,7.907327906,0.028167506,0.657942388,1.008171167,1.00000614,0
7.91173871,8.04106,7.81066,7.911883023,0.048576502,0.522158646,1.016326957,1.00001824,0
7.914711613,7.99498,7.85674,7.914810857,0.040290791,0.011232181,1.010129003,1.000012539,0
7.887955484,7.92586,7.8337,7.887991409,0.024199962,0.134775452,1.00480079,1.000004554,0
7.872347742,7.92586,7.81066,7.872396438,0.028147235,-0.266357091,1.006791269,1.000006186,0
7.864915484,7.92586,7.76458,7.864995059,0.035964245,-0.245437178,1.007738713,1.000010118,0
